date,item
2026-01,Julia receives a [JGI grant](https://jgi.doe.gov/user-science/science-stories/jgi-announces-2026-new-investigator-portfolio) to sequence and assemble radish genomes!
2026-01,Elli begins her postdoc with the Gaut Lab at UC Irvine!
2026-01,Alyssa accepts a job as research conservation geneticist with the Atlanta Botanical Gardens!
2026-01,Jeff gives [E&E Seminar](https://www.youtube.com/watch?v=9K2iWaLZQLY) at Davis
2026-02,"Preprint alert! Collaboration on the math behind a long-standing idea based on empirical work from former lab postdocs Wenbin Mei, Sion Renny-Byfield, and Edwin Solares. [preprint](https://www.biorxiv.org/content/10.64898/2026.02.26.708357v1)"
2026-03,Lab attends the Maize Meeting in Cologne
2026-03,Regina is awarded a Chicago Fellows Postdoctoral Fellowship to work with Dr. Julia Kreiner at U. Chicago!
2026-04,Jeff elected to the [NAS](https://www.nasonline.org/directory-entry/jeffrey-ross-ibarra-kdgki6/)
2026-07,Jeff gives [keynote address](https://www.youtube.com/watch?v=ntJOdZd0mwc) at PEQG
2026-07,Natasha Dhamrait wins a [Bilinski Fellowship](https://marinescience.ucdavis.edu/news/announcing-uc-davis-bilinski-fellows-bodega-marine-laboratory-2026-27) for science-art data visualization. Former lab undergrad Julianna Porter another winner!
2026-08,Preprint alert! New work on single cell RNA-seq and QTL mapping to learn about the genetics of maize domestication. Collaboration with former lab postdoc Ning Yang. [preprint](https://www.biorxiv.org/content/10.64898/2026.08.10.743805v2)
2026-09,Regina Fairbanks graduates! Heading off to a postdoc with [Julia Kreiner](https://kreinerlab.com)
2026-10,[Murillo Rodrigues](https://www.m-rodrigues.me) joins the lab to work on ARGs in plants as part of a [Simons Foundation Postdoctoral Fellowship](https://www.simonsfoundation.org/grant/simons-postdoctoral-fellowships-in-plant-biology/)
