name,url,role
Elli Cryan,https://www.linkedin.com/in/elli-cryan-a150ba121/,PhD student 2018-2025 (Postdoc UC Irvine)
Ayelet Salman-Minkov,https://scholar.google.com/citations?user=SWqRX4QAAAAJ&hl=en,Project Scientist 2023-2024
Alyssa Phillips,https://scholar.google.com/citations?user=p9u2mzwAAAAJ&hl=en,PhD student 2018-2024 (Postdoc UC Berkeley)
Garnet Phinney,,"Undergraduate researcher, 2023-2024 (PhD Student UC Irvine)"
Sarah Nicholson,https://scholar.google.com/citations?user=uQ7Z4PAAAAAJ&hl=en&oi=ao,PhD student 2016-2023
Edwin Solares,https://www.linkedin.com/in/solarese,"Postdoc 2021-2023 (Lecturer, UC Davis)"
Miriam Nancy Salazar Vidal,https://scholar.google.com/citations?user=Ewa91LUAAAAJ&hl=en&oi=ao,"Postdoc 2018-2023 (Research Scientist, U Missouri)"
Mitra Menon,https://scholar.google.com/citations?user=3Q2yL_MAAAAJ&hl=en,"Postdoc 2020-2022 (Computational Biologist, Form Bio)"
Julianna Porter,https://github.com/juliannaporter,"Postbac, 2021-2022 (PhD Student, UC Davis)"
Luke Sparreo,www.linkedin.com/in/luke-sparreo,"Summer REU, 2022"
Asher Hudson,https://aihudson.github.io,"PhD student, 2017-2022 (Postdoc, USDA NC State)"
Catherine Rushworth,https://www.cathyrushworth.org,"Postdoc 2018-2022 (Asst. Prof, Utah State)"
Silas Tittes,https://scholar.google.com/citations?user=LxGAurUAAAAJ&hl=en,"Postdoc 2018-2022 (Research Scientist, U Oregon)"
Robert Horvath,https://scholar.google.com/citations?user=U9evFmUAAAAJ&hl=en&oi=sra,"Postdoc 2020-2021 (Postdoc, U. Zurich)"
Ning Yang,https://scholar.google.com/citations?user=Eu-hz1EAAAAJ&hl=zh-CN,"Postdoc 2019-2021 (Professor, Huazhong Ag. University)"
Daniel Gates,https://danjgates.wordpress.com,"Postdoc 2016-2020 (Bioinformatician, Checkerspot)"
Taylor Perkins,https://orcid.org/0000-0002-1076-0527,Lab Manager 2019-2020
Sarah Turner-Hissong,https://mishaploid.github.io,"Postdoc 2019-2020 (Research Scientist, Bayer Crop Sci.)"
Michelle Stitzer,http://mcstitzer.github.io,"PhD student 2013-2019 (NSF Postdoc, Cornell)"
Dianne Velasco,https://scholar.google.com/citations?user=h2_YtiYAAAAJ&hl=en,PhD Student 2010-2019 (USDA-ARS National Clonal Germplasm Repository)
Li Wang,https://scholar.google.com/citations?user=yGEvdz0AAAAJ&hl=en,"Postdoc 2018-2019 (Research Scientist, Agricultural Genomics Institute Shenzhen)"
Markus Stetter,https://www.cropevolution.org,"Postdoc 2017-2019 (Asst. Group Leader, U. Köln)"
Wenbin Mei,https://scholar.google.com/citations?user=LR1KOxwAAAAJ&hl=en,Postdoc 2016-2018 (Scientist at Inari Agriculture)
Anne Lorant,https://scholar.google.com/citations?user=mnHb3lYAAAAJ&hl=en,"Lab manager, PhD student, postdoc 2013-2018 (Bioinformatician, LBMCC)"
Emily Josephs,https://josephslab.github.io,"Postdoc 2015-2018 (Asst. Professor, MSU)"
Luis Avila,https://lmavila.github.io,"Programmer 2016-2018 (Research Scientist, Genentech)"
Anna O'Brien,https://annamobrien.wordpress.com,"PhD Student 2011-2017 (Postdoc, U. Toronto)"
Jinliang Yang,http://jyanglab.com,"Postdoc 2014-2017 (Assistant Professor, U. Nebraska)"
Josh Hough,https://scholar.google.fr/citations?user=FmClXYIAAAAJ&hl=en,Postdoc 2016-2017
Paul Bilinski,https://scholar.google.com/citations?user=c03DwHkAAAAJ&hl=en,"PhD Student 2010-2016 (Associate Professor, West Shore Community College)"
Simon Renny-Byfield,https://scholar.google.com/citations?hl=en&user=uZTFIaAAAAAJ,"Postdoc 2014-2016 (Research Scientist, Corteva Agriscience)"
Kate Crosby,https://github.com/kate-crosby,"Postdoc 2014-2015 (Research Scientist, Indigo Ag)"
Sayuri Tsukahara,,Postdoc 2013-2015
Tim Beissinger,https://www.uni-goettingen.de/en/599788.html,"Postdoc 2014-2015 (Professor, U. Göttingen)"
Arun Durvasula,https://arundurvasula.wordpress.com,"Undergraduate 2013-2015 (PhD Student, UCLA)"
Nivaz Brar,,Undergraduate 2014-2015
Chris Fiscus,https://cjfiscus.github.io/,"Undergraduate 2014 (PhD Student, UC Riverside)"
Tyler Kent,https://github.com/tvkent,"Undergraduate 2013-2015 (PhD Student, U. Toronto)"
Vince Buffalo,http://www.vincebuffalo.com,"Programmer 2013-2014 (Postdoc, U Oregon)"
Sofiane Mezmouk,http://www.linkedin.com/pub/sofiane-mezmouk/6b/a35/a34,"Postdoc 2012-2014 (Research Scientist, KWS)"
Shohei Takuno,https://sites.google.com/site/shoheitakuno/,"Postdoc 2012-2013 (Asst. Professor, SOKENDAI)"
Matthew Hufford,http://www.public.iastate.edu/~mhufford/HuffordLab/home.html,"Postdoc 2010-2013 (Assoc. Professor, Iowa State)"
Tanja Pyhäjärvi,https://www2.helsinki.fi/en/researchgroups/forest-genomics,"Postdoc 2010-2012 (Associate Professor, U. Helsinki)"
Joost van Heerwaarden,http://www.wageningenur.nl/en/Persons/dr.ir.-J-Joost-van-Heerwaarden.htm,"Postdoc 2009-2011 (Researcher, U. Wageningen)"
