"section","order","details_html"
"Preprints",0,"<details>
<summary> Extensive genome evolution distinguishes maize within a stable tribe of grasses
 [[preprint](https://doi.org/10.1101/2025.01.22.633974)]  
Michelle C. Stitzer, Arun S. Seetharam, Armin Scheben, Sheng-Kai Hsu, ...[35 authors]..., M. Cinta Romay, Elizabeth A. Kellogg, Edward S. Buckler, Matthew B. Hufford
</summary>
<p style=""""margin-left: 30px"""">
Abstract Over the last 20 million years, the Andropogoneae tribe of grasses has evolved to dominate 17% of global land area. Domestication of these grasses in the last 10,000 years has yielded our most productive crops, including maize, sugarcane, and sorghum. The majority of Andropogoneae species, including maize, show a history of polyploidy – a condition that, while offering the evolutionary advantage of multiple gene copies, poses challenges to basic cellular processes, gene expression, and epigenetic regulation. Genomic studies of polyploidy have been limited by sparse sampling of taxa in groups with multiple polyploidy events. Here, we present 33 genome assemblies from 27 species, including chromosome-scale assemblies of maize relatives Zea and Tripsacum . In maize, the after-effects of polyploidy have been widely studied, showing reduced chromosome number, biased fractionation of duplicate genes, and transposable element (TE) expansions. While we observe these patterns within the genus Zea , 12 other polyploidy events deviate significantly. Those tetraploids and hexaploids retain elevated chromosome number, maintain nearly complete complements of duplicate genes, and have only stochastic TE amplifications. These genomes reveal variable outcomes of polyploidy, challenging simple predictions and providing a foundation for understanding its evolutionary implications in an ecologically and economically important clade.
</p></details><p></p>"
"Preprints",1,"<details>
<summary> Teosinte Pollen Drive guides maize diversification and domestication by RNAi
 [[preprint](https://doi.org/10.1101/2023.07.12.548689)]  
Benjamin Berube, Evan Ernst, Jonathan Cahn, Benjamin Roche, ...[3 authors]..., Adam Siepel, **Jeffrey Ross-Ibarra**, Jerry Kermicle, Rob Martienssen
</summary>
<p style=""""margin-left: 30px"""">
Abstract Meiotic drivers subvert Mendelian expectations by manipulating reproductive development to bias their own transmission. Chromosomal drive typically functions in asymmetric female meiosis, while gene drive is normally postmeiotic and typically found in males. Using single molecule and single-pollen genome sequencing, we describe Teosinte Pollen Drive , an instance of gene drive in hybrids between maize ( Zea mays ssp. mays ) and teosinte mexicana ( Zea mays ssp. mexicana ), that depends on RNA interference (RNAi). 22nt small RNAs from a non-coding RNA hairpin in mexicana depend on Dicer-Like 2 (Dcl2) and target Teosinte Drive Responder 1 (Tdr1), which encodes a lipase required for pollen viability. Dcl2 , Tdr1 , and the hairpin are in tight pseudolinkage on chromosome 5, but only when transmitted through the male. Introgression of mexicana into early cultivated maize is thought to have been critical to its geographical dispersal throughout the Americas, and a tightly linked inversion in mexicana spans a major domestication sweep in modern maize. A survey of maize landraces and sympatric populations of teosinte mexicana reveals correlated patterns of admixture among unlinked genes required for RNAi on at least 4 chromosomes that are also subject to gene drive in pollen from synthetic hybrids. Teosinte Pollen Drive likely played a major role in maize domestication and diversification, and offers an explanation for the widespread abundance of “self” small RNAs in the germlines of plants and animals.
</p></details><p></p>"
"Preprints",2,"<details>
<summary> Conserved noncoding sequences provide insights into regulatory sequence and loss of gene expression in maize
 [[preprint](https://doi.org/10.1101/gr.266528.120)]  
Baoxing Song, Edward S. Buckler, Hai Wang, Yaoyao Wu, ...[4 authors]..., Peter J. Bradbury, **Jeffrey Ross-Ibarra**, Matthew B. Hufford, M. Cinta Romay
</summary>
<p style=""""margin-left: 30px"""">
Thousands of species will be sequenced in the next few years; however, understanding how their genomes work, without an unlimited budget, requires both molecular and novel evolutionary approaches. We developed a sensitive sequence alignment pipeline to identify conserved noncoding sequences (CNSs) in the Andropogoneae tribe (multiple crop species descended from a common ancestor ∼18 million years ago). The Andropogoneae share similar physiology while being tremendously genomically diverse, harboring a broad range of ploidy levels, structural variation, and transposons. These contribute to the potential of Andropogoneae as a powerful system for studying CNSs and are factors we leverage to understand the function of maize CNSs. We found that 86% of CNSs were comprised of annotated features, including introns, UTRs, putative cis -regulatory elements, chromatin loop anchors, noncoding RNA (ncRNA) genes, and several transposable element superfamilies. CNSs were enriched in active regions of DNA replication in the early S phase of the mitotic cell cycle and showed different DNA methylation ratios compared to the genome-wide background. More than half of putative cis -regulatory sequences (identified via other methods) overlapped with CNSs detected in this study. Variants in CNSs were associated with gene expression levels, and CNS absence contributed to loss of gene expression. Furthermore, the evolution of CNSs was associated with the functional diversification of duplicated genes in the context of maize subgenomes. Our results provide a quantitative understanding of the molecular processes governing the evolution of CNSs in maize.
</p></details><p></p>"
"2026",6,"<details>
    <summary> [Plant domestication revisited: Genomic insights into origins, mechanisms, and convergent evolution](https://doi.org/10.1016/j.isci.2025.114062)
 Yu Cao, Jianbing Yan, **Jeffrey Ross-Ibarra**, Ning Yang

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2025",6,"<details>
    <summary> [Genetic variation at transcription factor binding sites largely explains phenotypic heritability in maize](https://doi.org/10.1038/s41588-025-02246-7)
 Julia Engelhorn, Samantha J. Snodgrass, Amelie Kok, Arun S. Seetharam, ...[17 authors]..., Benjamin Stich, Wolf B. Frommer, **Jeffrey Ross-Ibarra**, Thomas Hartwig

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Comprehensive maps of functional variation at transcription factor (TF) binding sites ( cis -elements) are crucial for elucidating how genotype shapes phenotype. Here, we report the construction of a pan-cistrome of the maize leaf under well-watered and drought conditions. We quantified haplotype-specific TF footprints across a pan-genome of 25 maize hybrids and mapped over 200,000 variants, genetic, epigenetic, or both (termed binding quantitative trait loci (bQTL)), linked to cis -element occupancy. Three lines of evidence support the functional significance of bQTL: (1) coincidence with causative loci that regulate traits, including vgt1 , ZmTRE1 and the MITE transposon near ZmNAC111 under drought; (2) bQTL allelic bias is shared between inbred parents and matches chromatin immunoprecipitation sequencing results; and (3) partitioning genetic variation across genomic regions demonstrates that bQTL capture the majority of heritable trait variation across ~72% of 143 phenotypes. Our study provides an auspicious approach to make functional cis -variation accessible at scale for genetic studies and targeted engineering of complex traits.
 </p></details><p></p>"
"2025",7,"<details>
    <summary> [An ancient origin of the naked grains of maize](https://doi.org/10.1073/pnas.2503748122)
 Regina A. Fairbanks, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Adaptation to novel environments requires genetic variation, but whether adaptation typically acts upon preexisting genetic variation or must wait for new mutations remains a fundamental question in evolutionary biology. Selection during domestication has been long used as a model to understand evolutionary processes, providing information not only on the phenotypes selected but also, in many cases, an understanding of the causal loci. For each of the causal loci that have been identified in maize, the selected allele can be found segregating in natural populations, consistent with their origin as standing genetic variation. The sole exception to this pattern is the well-characterized domestication locus tga1 ( teosinte glume architecture1 ), which has long been thought to be an example of selection on a de novo mutation. Here, we use a large dataset of maize and teosinte genomes to reconstruct the origin and evolutionary history of tga1 . We first estimated the age of tga1-maize using a genealogy-based method, finding that the allele arose approximately 42,000 to 49,000 y ago, predating the beginning of maize domestication. We also identify tga1-maize in teosinte populations, indicating that the allele can survive in the wild. Finally, we compare observed patterns of haplotype structure and mutational age distributions near tga1 with simulations, finding that patterns near tga1 in maize better resemble those generated under simulated selective sweeps on standing variation. These multiple lines of evidence suggest that maize domestication likely drew upon standing genetic variation at tga1 and cement the importance of standing variation in driving adaptation during domestication.
 </p></details><p></p>"
"2025",8,"<details>
    <summary> [Environmental data provide marginal benefit for predicting climate adaptation](https://doi.org/10.1371/journal.pgen.1011714)
 Forrest Li, Daniel J. Gates, Edward S. Buckler, Matthew B. Hufford, ...[7 authors]..., Martha C. Willcox, Sarah J. Hearne, **Jeffrey Ross-Ibarra**, Daniel E. Runcie

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Climate change poses a major challenge for both natural and cultivated species. Genomic tools are increasingly used in both conservation and breeding to identify adaptive loci that can be used to guide management in future climates. Here, we study the utility of climate and genomic data for identifying promising alleles using common gardens of a large, geographically diverse sample of traditional maize varieties to evaluate multiple approaches. First, we used genotype data to predict environmental characteristics of germplasm collections to identify varieties that may be pre-adapted to target environments. Second, we used environmental GWAS (envGWAS) to identify loci associated with historical divergence along climatic gradients. Finally, we compared the value of environmental data and envGWAS-prioritized loci to genomic data for prioritizing traditional varieties. We find that maize yield traits are best predicted by genome-wide relatedness and population structure, and that incorporating envGWAS-identified variants or environment-of-origin data provide little additional predictive information. While our results suggest that environmental data provide limited benefit in predicting fitness-related phenotypes, environmental GWAS is nonetheless a potentially powerful approach to identify individual novel loci associated with adaptation, especially when coupled with high density genotyping.
 </p></details><p></p>"
"2025",9,"<details>
    <summary> [The population genetics of convergent adaptation in maize and teosinte is not locally restricted](https://doi.org/10.7554/eLife.92405)
 Silas Tittes, Anne Lorant, Sean P McGinty, James B Holland, Jose de Jesus Sánchez-González, Arun Seetharam, Maud Tenaillon, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 What is the genetic architecture of local adaptation and what is the geographic scale over which it operates? We investigated patterns of local and convergent adaptation in five sympatric population pairs of traditionally cultivated maize and its wild relative teosinte ( Zea mays subsp. parviglumis ). We found that signatures of local adaptation based on the inference of adaptive fixations and selective sweeps are frequently exclusive to individual populations, more so in teosinte compared to maize. However, for both maize and teosinte, selective sweeps are also frequently shared by several populations, and often between subspecies. We were further able to infer that selective sweeps were shared among populations most often via migration, though sharing via standing variation was also common. Our analyses suggest that teosinte has been a continued source of beneficial alleles for maize, even after domestication, and that maize populations have facilitated adaptation in teosinte by moving beneficial alleles across the landscape. Taken together, our results suggest local adaptation in maize and teosinte has an intermediate geographic scale, one that is larger than individual populations but smaller than the species range.
 </p></details><p></p>"
"2025",10,"<details>
    <summary> [Molecular evolution of a reproductive barrier in maize and related species](https://doi.org/10.1093/genetics/iyaf085)
 Elli Cryan, Garnet Phinney, Arun S Seetharam, Matthew M S Evans, Elizabeth A Kellogg, Junpeng Zhan, Blake Meyers, Daniel J Kliebenstein, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Three cross-incompatibility loci each control a distinct reproductive barrier in both domesticated maize (Zea mays ssp. mays) and its wild teosinte relatives. These 3 loci, Teosinte crossing barrier1 (Tcb1), Gametophytic factor1 (Ga1), and Ga2, each play a key role in preventing hybridization between incompatible populations and are proposed to maintain the barrier between domesticated and wild subspecies. Each locus encodes both a silk-active and a matching pollen-active pectin methylesterase (PMEs). To investigate the diversity and molecular evolution of these gametophytic factor loci, we identified existing and improved models of the responsible genes in a new genome assembly of maize line P8860 that contains active versions of all 3 loci. We then examined 52 assembled genomes from 17 species to classify haplotype diversity and identify sites under diversifying selection during the evolution of these genes. We show that Ga2, the oldest of these 3 loci, was duplicated to form Ga1 at least 12 million years ago. Tcb1, the youngest locus, arose as a duplicate of Ga1 before or around the time of diversification of the Zea genus. We find evidence of positive selection during evolution of the functional genes at an active site in the pollen-expressed PME and predicted surface sites in both the silk- and pollen-expressed PMEs. The most common allele at the Ga1 locus is a conserved ga1 allele (ga1-Off), which is specific haplotype containing 3 full-length PME gene copies, all of which are noncoding due to conserved stop codons and are between 610 thousand and 1.5 million years old. We show that the ga1-Off allele is associated with and likely generates 24-nt siRNAs in developing pollen-producing tissue, and these siRNAs map to functional Ga1 alleles. In previously published crosses, the ga1-Off allele was associated with reduced function of the typically dominant functional alleles for the Ga1 and Tcb1 barriers. Taken together, this seems to be an example of an allele at a reproductive barrier locus being associated with an as yet undetermined mechanism capable of silencing the reproductive barrier.
 </p></details><p></p>"
"2024",6,"<details>
    <summary> [Teosinte Pollen Drive guides maize diversification and domestication by RNAi](https://doi.org/10.1038/s41586-024-07788-0)
 Benjamin Berube, Evan Ernst, Jonathan Cahn, Benjamin Roche, ...[4 authors]..., Adam Siepel, **Jeffrey Ross-Ibarra**, Jerry Kermicle, Robert A. Martienssen

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Selfish genetic elements contribute to hybrid incompatibility and bias or ‘drive’ their own transmission 1,2 . Chromosomal drive typically functions in asymmetric female meiosis, whereas gene drive is normally post-meiotic and typically found in males. Here, using single-molecule and single-pollen genome sequencing, we describe Teosinte Pollen Drive , an instance of gene drive in hybrids between maize ( Zea mays ssp. mays ) and teosinte mexicana ( Z. mays ssp. mexicana ) that depends on RNA interference (RNAi). 22-nucleotide small RNAs from a non-coding RNA hairpin in mexicana depend on Dicer-like 2 ( Dcl2 ) and target Teosinte Drive Responder 1 ( Tdr1 ), which encodes a lipase required for pollen viability. Dcl2 , Tdr1 and the hairpin are in tight pseudolinkage on chromosome 5, but only when transmitted through the male. Introgression of mexicana into early cultivated maize is thought to have been critical to its geographical dispersal throughout the Americas 3 , and a tightly linked inversion in mexicana spans a major domestication sweep in modern maize 4 . A survey of maize traditional varieties and sympatric populations of teosinte mexicana reveals correlated patterns of admixture among unlinked genes required for RNAi on at least four chromosomes that are also subject to gene drive in pollen from synthetic hybrids. Teosinte Pollen Drive probably had a major role in maize domestication and diversification, and offers an explanation for the widespread abundance of ‘self’ small RNAs in the germ lines of plants and animals.
 </p></details><p></p>"
