name	Kindr_E9	sKindr_7_EXONS	Zea_mays_Kin11_NM_001305870	Zea_mays_Kin6_NM_001319765	kindr_norm	skindr_norm
fu8521	NA	0	0.353191489	2.476510067	NA	0
hai014	NA	0	1.314893617	3.234899329	NA	0
xun92-8	0	0	0.672340426	3.523489933	0	0
CAUCHANG72	0.747126437	0.379113019	42.04255319	48.03355705	0.016588781	0.008417615
K12	0	0.057224607	1.765957447	5.167785235	0	0.016506124
4F1	0	0.057224607	1.29787234	4.046979866	0	0.02141298
LH52	0	0.052932761	0.6	1.181208054	0	0.059434675
W153R	0	0.247496423	1.582978723	1.751677852	0	0.148438928
LH194	0	0.343347639	0.89787234	3.033557047	0	0.174668094
zaC546	NA	0.280400572	0.893617021	2.067114094	NA	0.189413061
nan21-3	0	0.170243205	0.536170213	1.140939597	0	0.203019747
B76	NA	0.258941345	0.731914894	1.718120805	NA	0.21137761
PHG71	0	0.779685265	0.310638298	5.32885906	0	0.276508779
PHM10	NA	1.12732475	1.846808511	5.765100671	NA	0.296200263
yi36	0	0.220314735	0.263829787	1.154362416	0	0.310697993
9058	0	0.819742489	0.982978723	3.832214765	0	0.340481641
LH205	0	0.496423462	0.736170213	1.617449664	0	0.421838264
200B	0	1.081545064	2.170212766	2.44295302	0	0.468894947
zheng22	0	0.682403433	0.344680851	2.44966443	0	0.488417404
LH57	0	1.273247496	2.714893617	2.315436242	0	0.506228232
LH149	0	0.799713877	2.110638298	0.939597315	0	0.524362035
PHW43	0	0.881258941	0.408510638	2.362416107	0	0.636075236
3H2	0	1.409155937	1.195744681	3	0	0.671707191
Ki11	NA	3.546494993	5.310638298	5.161073826	NA	0.677347687
PHN82	0	1.676680973	0.314893617	4.194630872	0	0.743617637
78010	0	0.723891273	0.49787234	1.315436242	0	0.798420391
ji853	0	1.203147353	1.382978723	1.154362416	0	0.948352852
PHG50	0	1.60658083	1.110638298	1.946308725	0	1.051101519
CAUZHENG58	1.511494253	59.2546495	51.33617021	56.17449664	0.028118033	1.102302706
ji444	0	2.702432046	2.685106383	2.208053691	0	1.104575368
PHJ31	0	2.367668097	1.178723404	2.798657718	0	1.190566367
ning55	0	1.39055794	0.493617021	1.812080537	0	1.206192837
P25	0	2.672389127	1.042553191	2.959731544	0	1.335431787
qi319	0	2.331902718	1.459574468	1.986577181	0	1.353337262
P138	0	0.885550787	0.693617021	0.610738255	0	1.357836784
LH1	0	19.61516452	10.39148936	17.71812081	0	1.395619819
794	NA	2.164520744	1.914893617	1.134228188	NA	1.419766662
CAU478	2.620689655	65.25035765	42.45957447	46.68456376	0.058796679	1.463929294
6103	0	2.492131617	0.170212766	3.167785235	0	1.4931894
han21	0	1.30472103	0.706382979	0.953020134	0	1.57251848
PHR63	NA	3.071530758	1.289361702	2.241610738	NA	1.739764787
LH54	0	2.689556509	1.246808511	1.818791946	0	1.754668651
2369	0	2.298998569	1.259574468	1.342281879	0	1.767198694
NC268	0	1.001430615	0.387234043	0.738255034	0	1.779547463
CAU5003	1.511494253	81.56938484	43.99574468	47.29530201	0.033113746	1.787018285
W64a	0	3.010014306	1.770212766	1.483221477	0	1.850361238
87916W	0	2.075822604	0.621276596	1.11409396	0	2.392368128
ZEAxppRBHDIAAPEI-5	0	6.662374821	2.370212766	3.147651007	0	2.414838458
Ky21	0	8.384835479	3.212765957	3.657718121	0	2.440828152
W64A	0	48.02432046	16.14893617	23.12751678	0	2.445450994
shangyin110-1	0	3.117310443	0.906382979	1.617449664	0	2.470298854
IB014	NA	2.024320458	0.442553191	1.167785235	NA	2.514155316
S22	0	2.108726753	0.685106383	0.859060403	0	2.731216307
bao3040	0	2.585121602	1.157446809	0.724832215	0	2.746799566
PHV78	0	6.067238913	2.604255319	1.711409396	0	2.811728581
B47	0	1.723891273	1.182978723	0	0	2.91449244
B100	0	1.688125894	0.289361702	0.859060403	0	2.939904913
NC350	0	7.74248927	4.012765957	1.11409396	0	3.020363105
LH38	0	1.477825465	0.736170213	0.241610738	0	3.022815005
LH192	0	1.82260372	0.378723404	0.805369128	0	3.07848191
hu803	0	4.343347639	1.621276596	1.161073826	0	3.122070898
MM-1A	0	131.9699571	34.68510638	48.56375839	0	3.170492653
B73	0	6.982832618	2.506382979	1.697986577	0	3.321702588
ben7884	0	6.949928469	2.127659574	1.818791946	0	3.522115213
M162W	0	1.288984263	0.719148936	0	0	3.584749134
11430	0	2.271816881	0.804255319	0.44295302	0	3.643043122
huo17	0	4.323319027	1.382978723	0.946308725	0	3.712138689
Tzi8	0	3.678111588	0.378723404	1.597315436	0	3.722711834
LH61	0	3.150214592	0.174468085	1.456375839	0	3.863293778
HP301	0	9.842632332	0.110638298	4.838926174	0	3.977171077
cheng18	0	2.600858369	0.885106383	0.395973154	0	4.060416693
22613	2.166666667	166.0872675	38.81276596	42.18120805	0.053501923	4.101225296
KI3	2.218390805	104.9799714	27.83829787	23.0738255	0.087145876	4.123967512
BKN018	0	16.90844063	4.093617021	3.973154362	0	4.192120943
792	0	1.852646638	0.629787234	0.241610738	0	4.252125199
P167	0	5.460658083	1.268085106	1.281879195	0	4.282929044
PHN47	0	5.188841202	1.204255319	1.174496644	0	4.362658471
PHT10	0	0.771101574	0.340425532	0	0	4.530221745
MO18W	NA	61.9241774	11.09361702	15.84563758	NA	4.597319288
M14	0	4.203147353	0.663829787	1.147651007	0	4.640565186
H99	NA	189.9113019	38.69787234	40.91946309	NA	4.7706018
H99.tmp.bam.bed	0	189.9113019	38.69787234	40.91946309	0	4.7706018
Oh7B	0	12.14735336	1.425531915	3.657718121	0	4.779364885
RIMMA0438.1	1.83908046	162.2446352	38.33617021	29.51677852	0.054207827	4.782242724
ye515	0	6.513590844	1.174468085	1.342281879	0	5.176192261
ji4112	0	5.060085837	1.255319149	0.697986577	0	5.181048485
E8501	0	5.250357654	0.808510638	1.181208054	0	5.27748739
LH51	0	3.663805436	0.127659574	1.234899329	0	5.377830533
1205A	0	10.91130186	2.523404255	1.530201342	0	5.383504437
Mo24W	0	8.248927039	1.059574468	1.986577181	0	5.415966103
CML69	2.977011494	366.3662375	58.61702128	74.60402685	0.04469281	5.500125433
A632	0	32.26466381	4.336170213	7.355704698	0	5.519159938
A679	0	3.496423462	1.004255319	0.241610738	0	5.612840066
Oh43	0.24137931	178.6280401	33.76170213	29.19463087	0.00766815	5.674664694
4676A	0	3.444921316	0.259574468	0.939597315	0	5.745500959
B68	0	1.404864092	0	0.483221477	0	5.814576379
PHW52	0	1.457796853	0	0.483221477	0	6.033659196
LH39	0	7.38769671	1.387234043	1.006711409	0	6.171984164
M37W	1.126436782	179.0586552	29.85106383	26.5033557	0.039976875	6.354733371
tian77	0	10.91273247	2.485106383	0.832214765	0	6.579243907
P39	0	9.64806867	2.65106383	0.241610738	0	6.6706907
